episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
70,e70-h1-h12-g0,h1,h12,19.6,61.649499999999996,0.067,0.62,-0.11906463636363633
70,e70-h2-h11-g1,h2,h11,13.2,60.897000000000006,0.139,0.12,-0.10462800000000003
70,e70-h3-h10-g2,h3,h10,26.4,55.0665,0.078,0.1,-0.067601
70,e70-h4-h9-g3,h4,h9,17.6,62.448499999999996,0.156,0.092,-0.09843299999999999
71,e71-h1-h12-g0,h1,h12,44.1,83.7935,0.068,1.8,-0.1778131818181818
71,e71-h2-h11-g1,h2,h11,11.8,59.099000000000004,0.094,0.12,-0.10330745454545454
71,e71-h3-h10-g2,h3,h10,19.0,60.8905,0.066,0.6,-0.11763154545454545
71,e71-h4-h9-g3,h4,h9,28.9,60.976,0.102,0.11,-0.07551854545454548
72,e72-h1-h12-g0,h1,h12,48.9,54.6595,0.099,0.084,-0.025203909090909103
72,e72-h2-h11-g1,h2,h11,10.5,56.2785,0.075,0.099,-0.09886609090909092
72,e72-h3-h10-g2,h3,h10,30.9,68.405,0.068,1.1,-0.1360361818181818
72,e72-h4-h9-g3,h4,h9,33.9,53.6225,0.083,0.12,-0.05210663636363637
